id,serve_type_id,meal_type_id,hot_cold,meal_name,price
1,1,2,Cold,Meal 1,43.22
2,2,4,Hot,Meal 2,29.22
3,3,1,Cold,Meal 3,37.34
4,3,2,Hot,Meal 4,52.41
5,3,2,Cold,Meal 5,27.75
6,3,2,Cold,Meal 6,32.08
7,3,2,Cold,Meal 7,55.17
8,2,1,Hot,Meal 8,39.81
9,2,2,Cold,Meal 9,34.31
10,1,3,Hot,Meal 10,32.43
11,1,2,Cold,Meal 11,24.67
12,3,1,Cold,Meal 12,26.12
13,1,1,Cold,Meal 13,34.96
14,2,4,Hot,Meal 14,34.4
15,1,1,Cold,Meal 15,45.35
16,3,1,Hot,Meal 16,38.48
17,1,2,Hot,Meal 17,77.65
18,1,1,Hot,Meal 18,31.91
19,1,4,Cold,Meal 19,33.76
20,1,4,Cold,Meal 20,48.73
21,2,4,Hot,Meal 21,43.51
22,1,4,Hot,Meal 22,33.51
23,1,2,Hot,Meal 23,24.77
24,2,3,Hot,Meal 24,34.91
25,3,2,Hot,Meal 25,34.89
26,1,3,Hot,Meal 26,37.33
27,3,1,Hot,Meal 27,21.26
28,3,2,Hot,Meal 28,71.06
29,3,2,Cold,Meal 29,44.06
30,2,3,Hot,Meal 30,72.86
31,1,4,Cold,Meal 31,64.13
32,3,2,Cold,Meal 32,32.75
33,2,1,Cold,Meal 33,70.79
34,1,3,Cold,Meal 34,72.42
35,3,1,Hot,Meal 35,75
36,3,1,Cold,Meal 36,39.06
37,2,4,Hot,Meal 37,50.87
38,1,2,Hot,Meal 38,20.14
39,3,2,Cold,Meal 39,31.07
40,3,2,Cold,Meal 40,57.18
41,1,2,Hot,Meal 41,59.37
42,1,3,Cold,Meal 42,50.04
43,2,1,Cold,Meal 43,41.82
44,2,2,Hot,Meal 44,40.59
45,2,1,Hot,Meal 45,40.47
46,1,4,Hot,Meal 46,27.64
47,2,3,Cold,Meal 47,72.77
48,3,1,Hot,Meal 48,32.18
49,1,2,Cold,Meal 49,22.29
50,3,2,Cold,Meal 50,31.07
51,2,2,Cold,Meal 51,33.01
52,1,4,Hot,Meal 52,30.34
53,2,4,Hot,Meal 53,45.2
54,2,3,Cold,Meal 54,31.18
55,2,2,Cold,Meal 55,23.41
56,3,2,Hot,Meal 56,44.59
57,2,3,Hot,Meal 57,39.17
58,1,2,Hot,Meal 58,50.3
59,2,4,Cold,Meal 59,71.06
60,1,4,Cold,Meal 60,37.98
61,2,3,Cold,Meal 61,32.94
62,2,4,Cold,Meal 62,34.95
63,2,2,Cold,Meal 63,39.08
64,3,2,Cold,Meal 64,40.05
65,3,1,Cold,Meal 65,34.95
