id,date,hour,member_id,restaurant_id,total_order
18100,2020-04-01,11:04:00,189,5,0
18101,2020-04-01,11:05:00,121,14,27.42
18102,2020-04-01,11:09:00,113,17,114.53
18103,2020-04-01,11:13:00,73,21,0
18104,2020-04-01,11:14:00,40,5,0
18105,2020-04-01,11:17:00,188,15,104.31
18106,2020-04-01,11:22:00,74,6,202.06
18107,2020-04-01,11:22:00,31,14,147.89
18108,2020-04-01,11:25:00,56,7,180.1
18109,2020-04-01,11:28:00,10,23,114.28
18110,2020-04-01,11:30:00,166,25,105.25
18111,2020-04-01,11:32:00,86,30,180.36
18112,2020-04-01,11:33:00,66,23,70.46
18113,2020-04-01,11:34:00,200,10,59.19
18114,2020-04-01,11:38:00,167,14,0
18115,2020-04-01,11:41:00,195,14,76.99
18116,2020-04-01,11:41:00,111,3,59.66
18117,2020-04-01,11:43:00,174,1,43.22
18118,2020-04-01,11:55:00,189,7,98.66
18119,2020-04-01,11:56:00,137,18,95.48
18120,2020-04-01,11:58:00,95,27,143.37
18121,2020-04-01,12:05:00,108,4,0
18122,2020-04-01,12:06:00,8,18,75.18
18123,2020-04-01,12:07:00,171,17,73.95
18124,2020-04-01,12:08:00,121,18,118.46
18125,2020-04-01,12:10:00,83,12,0
18126,2020-04-01,12:12:00,2,19,0
18127,2020-04-01,12:13:00,36,16,51.18
18128,2020-04-01,12:31:00,86,8,192.43
18129,2020-04-01,12:33:00,65,8,63.93
18130,2020-04-01,12:38:00,35,26,247.83
18131,2020-04-01,12:46:00,33,5,40.47
18132,2020-04-01,12:46:00,8,4,147.42
18133,2020-04-01,12:47:00,131,4,0
18134,2020-04-01,12:50:00,10,20,29.48
18135,2020-04-01,12:52:00,103,4,72.86
18136,2020-04-01,12:57:00,19,21,107.47
18137,2020-04-01,12:57:00,36,17,44.93
18138,2020-04-01,12:58:00,165,9,124.36
18139,2020-04-01,12:59:00,93,19,109.17
18140,2020-04-01,12:59:00,125,16,177.18
18141,2020-04-01,13:01:00,78,23,31.82
18142,2020-04-01,13:02:00,60,19,0
18143,2020-04-01,13:02:00,144,15,29.42
18144,2020-04-01,13:04:00,55,24,47.49
18145,2020-04-01,13:13:00,72,7,0
18146,2020-04-01,13:15:00,37,20,0
18147,2020-04-01,13:15:00,109,6,44.59
18148,2020-04-01,13:18:00,31,11,153.38
18149,2020-04-01,13:18:00,87,11,134.32
18150,2020-04-01,13:18:00,16,6,50.3
18151,2020-04-01,13:18:00,99,13,42.89
18152,2020-04-01,13:21:00,174,4,179.25
18153,2020-04-01,13:23:00,16,15,34.14
18154,2020-04-01,13:25:00,64,3,76.03
18155,2020-04-01,13:26:00,5,2,34.96
18156,2020-04-01,13:28:00,155,16,0
18157,2020-04-01,13:29:00,20,13,76.28
18158,2020-04-01,13:34:00,147,13,0
18159,2020-04-01,13:37:00,175,29,30.08
18160,2020-04-01,13:41:00,190,2,0
18161,2020-04-01,13:42:00,51,14,133.74
18162,2020-04-01,13:44:00,191,16,0
18163,2020-04-01,13:45:00,104,18,82.26
18164,2020-04-01,13:48:00,49,30,73.26
18165,2020-04-01,13:49:00,142,4,32.75
18166,2020-04-01,13:50:00,154,20,157.15
18167,2020-04-01,13:55:00,101,23,31.82
18168,2020-04-01,13:55:00,15,13,42.89
18169,2020-04-01,13:55:00,14,4,141.85
18170,2020-04-01,13:56:00,96,14,0
18171,2020-04-01,13:56:00,71,14,78.74
18172,2020-04-01,13:58:00,31,8,0
18173,2020-04-01,14:21:00,37,16,30.36
18174,2020-04-01,14:24:00,21,24,78.12
18175,2020-04-01,14:31:00,5,7,34.95
18176,2020-04-01,14:38:00,93,10,257.4
18177,2020-04-01,14:48:00,168,26,0
18178,2020-04-01,14:56:00,183,23,115.85
18179,2020-04-01,15:04:00,122,10,160.46
18180,2020-04-01,15:06:00,77,30,111.42
18181,2020-04-01,15:09:00,163,18,167
18182,2020-04-01,15:12:00,142,28,0
18183,2020-04-01,15:26:00,97,11,0
18184,2020-04-01,15:30:00,108,27,30.53
18185,2020-04-01,15:32:00,106,4,111.92
18186,2020-04-01,15:46:00,116,14,93.25
18187,2020-04-01,15:51:00,167,5,31.07
18188,2020-04-01,15:54:00,76,15,0
18189,2020-04-01,15:55:00,59,7,49.04
18190,2020-04-01,15:56:00,108,24,49.56
18191,2020-04-01,15:56:00,17,3,69.8
18192,2020-04-01,16:03:00,105,28,24.43
18193,2020-04-01,16:45:00,48,22,0
18194,2020-04-01,16:49:00,199,3,138.13
18195,2020-04-01,16:50:00,79,9,89.46
18196,2020-04-01,16:59:00,42,12,0
18197,2020-04-01,17:10:00,34,1,98.47
18198,2020-04-01,17:23:00,31,29,40.45
18199,2020-04-01,17:40:00,139,3,56.17
18200,2020-04-01,17:41:00,24,19,140.88
18201,2020-04-01,17:44:00,57,23,94.04
18202,2020-04-01,19:02:00,199,8,92.13
18203,2020-04-01,19:06:00,131,28,38.43
18204,2020-04-01,19:06:00,174,8,37.08
18205,2020-04-01,19:06:00,180,25,178.13
18206,2020-04-01,19:07:00,111,12,0
18207,2020-04-01,19:08:00,87,29,114.14
18208,2020-04-01,19:10:00,145,26,0
18209,2020-04-01,19:11:00,138,23,30.97
18210,2020-04-01,19:12:00,84,27,46.8
18211,2020-04-01,19:13:00,97,18,150.74
18212,2020-04-01,19:14:00,41,23,74.48
18213,2020-04-01,19:15:00,167,19,95.57
18214,2020-04-01,19:19:00,38,9,199.54
18215,2020-04-01,19:23:00,15,29,23.32
18216,2020-04-01,19:24:00,3,2,26.12
18217,2020-04-01,19:24:00,42,9,99.51
18218,2020-04-01,19:24:00,174,7,163.93
18219,2020-04-01,19:25:00,19,11,98.94
18220,2020-04-01,19:26:00,125,23,61.94
18221,2020-04-01,19:27:00,151,27,79.51
18222,2020-04-01,19:30:00,112,26,74.49
18223,2020-04-01,19:30:00,24,29,62.57
18224,2020-04-01,19:33:00,121,15,206.31
18225,2020-04-01,19:35:00,3,8,100.08
18226,2020-04-01,19:35:00,148,30,106.93
18227,2020-04-01,19:36:00,175,18,116.18
18228,2020-04-01,19:38:00,46,15,40
18229,2020-04-01,19:38:00,196,22,0
18230,2020-04-01,19:39:00,113,19,157.2
18231,2020-04-01,19:41:00,64,8,180.45
18232,2020-04-01,19:42:00,199,8,27.57
18233,2020-04-01,19:43:00,159,14,0
18234,2020-04-01,19:44:00,7,27,153.91
18235,2020-04-01,19:45:00,16,11,138.46
18236,2020-04-01,19:53:00,164,2,0
18237,2020-04-01,19:53:00,145,4,165.93
18238,2020-04-01,19:55:00,27,10,223.01
18239,2020-04-01,19:58:00,12,15,0
18240,2020-04-01,19:59:00,23,5,22.29
18241,2020-04-01,20:00:00,142,30,37.15
18242,2020-04-01,20:01:00,82,2,0
18243,2020-04-01,20:02:00,93,12,84.18
18244,2020-04-01,20:02:00,172,23,177.7
18245,2020-04-01,20:03:00,77,17,119.54
18246,2020-04-01,20:04:00,153,9,32.09
18247,2020-04-01,20:05:00,190,2,75.46
18248,2020-04-01,20:05:00,72,13,0
18249,2020-04-01,20:10:00,75,22,0
18250,2020-04-01,20:11:00,52,13,107.1
18251,2020-04-01,20:11:00,48,20,218.09
18252,2020-04-01,20:13:00,54,12,36.65
18253,2020-04-01,20:14:00,51,17,82.45
18254,2020-04-01,20:23:00,154,23,67.62
18255,2020-04-01,20:25:00,199,18,252.3
18256,2020-04-01,20:30:00,79,7,0
18257,2020-04-01,20:30:00,1,4,142.6
18258,2020-04-01,20:30:00,89,2,83.13
18259,2020-04-01,20:32:00,164,22,0
18260,2020-04-01,20:37:00,113,16,81.03
18261,2020-04-01,20:37:00,170,29,88.65
18262,2020-04-01,20:37:00,169,7,173.36
18263,2020-04-01,20:38:00,97,24,138.29
18264,2020-04-01,20:39:00,41,20,213.12
18265,2020-04-01,20:41:00,97,2,38.48
18266,2020-04-01,20:41:00,138,10,25.81
18267,2020-04-01,20:42:00,127,10,0
18268,2020-04-01,20:43:00,18,15,118.04
18269,2020-04-01,20:47:00,167,3,21.26
18270,2020-04-01,20:51:00,75,24,0
18271,2020-04-01,20:53:00,36,7,103.62
18272,2020-04-01,20:53:00,175,1,71.89
18273,2020-04-01,20:56:00,110,27,193.16
18274,2020-04-01,20:58:00,93,21,183.65
18275,2020-04-01,21:00:00,144,2,33.76
18276,2020-04-01,21:05:00,61,18,56.7
18277,2020-04-01,21:08:00,38,11,69.48
18278,2020-04-01,21:12:00,98,20,52.75
18279,2020-04-01,21:13:00,22,13,125.65
18280,2020-04-01,21:14:00,197,30,51.91
18281,2020-04-01,21:15:00,196,5,0
18282,2020-04-01,21:16:00,140,17,66.93
18283,2020-04-01,21:16:00,96,3,24.77
18284,2020-04-01,21:18:00,102,25,0
18285,2020-04-01,21:19:00,73,15,57.71
18286,2020-04-01,21:27:00,1,29,157.98
18287,2020-04-01,21:28:00,113,10,158.78
18288,2020-04-01,21:32:00,13,26,60.59
18289,2020-04-01,21:34:00,186,8,64.98
18290,2020-04-01,21:34:00,27,18,111.76
18291,2020-04-01,21:35:00,45,23,216.67
18292,2020-04-01,21:39:00,38,1,108.31
18293,2020-04-01,21:47:00,190,17,176.9
18294,2020-04-01,21:49:00,99,22,44.22
18295,2020-04-01,21:55:00,57,21,47.27
18296,2020-04-01,22:16:00,31,20,110.5
18297,2020-04-01,22:21:00,169,19,54.48
18298,2020-04-01,22:22:00,26,6,158.98
18299,2020-04-01,22:23:00,20,10,63.38
18300,2020-04-01,22:31:00,131,1,77.15
18301,2020-04-01,22:35:00,177,18,200.62
18302,2020-04-01,22:39:00,178,25,132.29
18303,2020-04-01,22:47:00,162,11,116.9
18304,2020-04-01,22:53:00,110,26,190.8
18305,2020-04-01,23:07:00,100,17,44.93
18306,2020-04-01,23:09:00,167,13,0
18307,2020-04-01,23:13:00,79,9,127.42
18308,2020-04-01,23:19:00,198,5,31.07
18309,2020-04-01,23:30:00,199,10,75.4
18310,2020-04-01,23:42:00,132,22,33.09
18311,2020-04-01,23:46:00,173,30,233.4
18312,2020-04-01,23:55:00,193,17,101.12
18313,2020-04-02,11:01:00,181,15,108.14
18314,2020-04-02,11:02:00,179,18,0
18315,2020-04-02,11:05:00,176,7,91.88
18316,2020-04-02,11:07:00,130,11,96.22
18317,2020-04-02,11:11:00,127,7,257.17
18318,2020-04-02,11:18:00,142,28,98.96
18319,2020-04-02,11:24:00,41,21,42.85
18320,2020-04-02,11:26:00,119,11,153.38
18321,2020-04-02,11:27:00,101,29,83.48
18322,2020-04-02,11:29:00,188,22,187.57
18323,2020-04-02,11:30:00,141,21,0
18324,2020-04-02,11:31:00,191,3,59.68
18325,2020-04-02,11:36:00,175,23,104.83
18326,2020-04-02,11:46:00,141,22,129.56
18327,2020-04-02,11:46:00,146,5,50.04
18328,2020-04-02,11:54:00,38,21,159.19
18329,2020-04-02,11:54:00,119,27,35.57
18330,2020-04-02,11:54:00,71,15,0
18331,2020-04-02,11:55:00,173,7,144.21
18332,2020-04-02,11:56:00,116,12,58.39
18333,2020-04-02,11:58:00,63,6,44.59
18334,2020-04-02,11:58:00,14,15,131.85
18335,2020-04-02,12:00:00,16,4,39.06
18336,2020-04-02,12:02:00,21,2,48.73
18337,2020-04-02,12:03:00,160,22,21.83
18338,2020-04-02,12:04:00,200,9,38.71
18339,2020-04-02,12:11:00,26,21,0
18340,2020-04-02,12:15:00,24,14,60.31
18341,2020-04-02,12:17:00,108,23,0
18342,2020-04-02,12:19:00,114,4,95.14
18343,2020-04-02,12:22:00,15,1,0
18344,2020-04-02,12:23:00,50,30,0
18345,2020-04-02,12:24:00,63,25,75.19
18346,2020-04-02,12:28:00,97,8,118.1
18347,2020-04-02,12:30:00,139,12,108.12
18348,2020-04-02,12:30:00,64,21,151.22
18349,2020-04-02,12:35:00,142,4,123.29
18350,2020-04-02,12:35:00,60,8,116.58
18351,2020-04-02,12:36:00,76,10,317.1
